index,price
214,4620325
215,4973670
216,12770447
217,8456879
218,7120556
219,6973348
220,8746682
221,5515990
222,16363145
223,8774132
224,11045481
225,11364214
226,7388325
227,8547418
228,11158166
229,7817111
230,10683312
231,9029424
232,7363871
233,8343981
234,5205178
235,9869152
236,14208904
237,6672698
238,6576740
239,7504645
240,6410018
241,16594042
242,9229560
243,6907786
244,7049836
245,7598831
246,6855744
247,7099115
248,9663796
249,4722712
250,12865702
251,10971651
252,5806047
253,6542146
254,12377989
255,19845487
256,12245072
257,8613786
258,14167585
259,8053383
260,9974650
261,8918896
262,8650368
263,12029868
264,10146556
265,6256551
266,14996086
267,11919424
268,6402175
269,12499720
270,6114359
271,6643809
272,7217214
273,6031897
274,4245445
275,5006854
276,8953868
277,14529244
278,8430693
279,10727288
280,8258696
281,7877837
282,10577332
283,7074957
284,8920397
285,6538414
286,10730683
287,7468495
288,12080311
289,9013930
290,9270031
291,13054579
292,16165862
293,10750331
294,6891582
295,9071059
296,14461531
297,12096920
298,6055661
299,6097920
300,9277976
301,7829974
302,3633271
303,6952417
304,10771972
305,8412419
306,6049808
307,5157164
308,9056991
309,9423425
310,7993976
311,4593669
312,5536758
313,8619317
314,10375692
315,7566079
316,6043958
317,7017609
318,11813434
319,10618339
320,7927836
321,6066304
322,4925480
323,15505986
324,13444655
325,8684623
326,12911831
327,7239095
328,7155886
329,5060820
330,7770706
331,8492226
332,10609538
333,7939898
334,7964937
335,9972015
336,20902617
337,9166507
338,10031648
339,7833466
340,17039128
341,8927714
342,12529071
343,11093330
344,7781651
345,6708517
346,11496720
347,7747874
348,9689716
349,5233543
350,10151365
351,13524822
352,7346647
353,6521199
354,7527416
355,18136437
356,15248126
357,7922240
358,6501322
359,9105127
360,7706575
361,5794567
362,8123251
363,4149153
364,6483142
365,12796165
366,8514123
367,9767643
368,9362503
369,7210875
370,8206643
371,6865157
372,6605682
373,7658969
374,10673868
375,9997058
376,6542013
377,8266056
378,4842446
379,4039469
380,6857362
381,8855211
382,10841384
383,7869003
384,9007684
385,8600981
386,15729496
387,9907851
388,8613861
389,6989173
390,12964066
391,16379545
392,10977543
393,12835669
394,6453781
395,8711684
396,8070750
397,5528018
398,6433333
399,4228364
400,11765171
401,7929853
402,8805700
403,10937943
404,8110199
405,8279519
406,6606204
407,12766493
408,10001040
409,6915001
410,8072709
411,8921656
412,10101381
413,7352261
414,11705537
415,11682625
416,5398603
417,6568503
418,5734144
419,11277434
420,8804687
421,4583953
422,12470125
423,8039684
424,6741418
425,10145981
426,13343681
427,5417334
428,5513341
429,7384827
430,9367663
431,9368463
432,8376352
433,6593361
434,8025352
435,10931126
436,5867739
437,7848732
438,22397374
439,22353946
440,6563791
441,9206572
442,7106639
443,13397402
444,8450941
445,7006291
446,6652844
447,11812939
448,9958593
449,13048043
450,9526963
451,9943231
452,11890012
453,11544045
454,13002618
455,7923040
456,9284944
457,7134254
458,15100734
459,15139750
460,6060947
461,9135291
462,5817742
463,5402843
464,8108918
465,5677963
466,6793072
467,10120829
468,8307335
469,4987578
470,11532110
471,9015651
472,10178670
473,10050924
474,4898210
475,17639248
476,7425816
477,8486923
478,5126992
479,11884639
480,10966312
481,20018228
482,8954056
483,6935626
484,5639875
485,11641006
486,14647261
487,11551067
488,7513361
489,15351308
490,7149208
491,7585400
492,18542886
493,7907864
494,10574767
495,14615147
496,8958796
497,6773956
498,6820767
499,8014140
500,6337177
501,8846761
502,9871726
503,12929326
504,8081841
505,8687735
506,4611406
507,9228608
508,16397938
509,7281573
510,12381268
511,7366498
512,6743136
513,11620409
514,12958265
515,7647832
516,9601536
517,14781821
518,5609543
519,12013045
520,4365124
521,12147659
522,8333802
523,9065049
524,7392621
525,8139743
526,9113164
527,9881380
528,7882578
529,4836713
530,7059063
531,5422778
532,16597204
533,6295279
534,15066626
535,7768339
536,10530342
537,10649846
538,10744098
539,7258760
540,8833521
541,12491748
542,11276890
543,4357012
544,8767507
545,7387328
546,8109835
547,7291125
548,11665699
549,17371573
550,13196845
551,15753738
552,11907373
553,7285969
554,10383672
555,5426441
556,4932832
557,8538212
558,10409451
559,6227022
560,9018994
561,5137814
562,6217639
563,6100128
564,9361352
565,9051021
566,13410801
567,9355688
568,9717589
569,10001524
570,12203200
571,5521743
572,9225777
573,14296136
574,7058797
575,6021658
576,10318963
577,11266095
578,13796533
579,9571155
580,12322678
581,9031631
582,6610789
583,6080141
584,20246076
585,5630307
586,8554844
587,7367134
588,6634476
589,13181255
590,14813824
591,12786254
592,9298060
593,5981091
594,11160127
595,13892245
596,12261868
597,7604809
598,9741732
599,7383720
600,10649821
601,20424386
602,11094778
603,10325653
604,9487645
605,11404553
606,15151784
607,12059531
608,6303625
609,6305937
610,10330333
611,5851645
612,8338886
613,6737385
614,7905580
615,4846479
616,8395003
617,4932362
618,6338349
619,12530885
620,10605915
621,9047636
622,9207502
623,6579980
624,9301907
625,6729551
626,9619910
627,11596207
628,10937628
629,8227497
630,11161221
631,11417937
632,10011092
633,5883715
634,6652665
635,10299390
636,12353314
637,12217934
638,13041586
639,10727683
640,9514157
641,10656318
642,16145547
643,5857109
644,7053972
645,7254510
646,4623410
647,6785073
648,9356525
649,7210514
650,16560716
651,11258103
652,8024075
653,7187318
654,8890184
655,5728702
656,8825724
657,5030829
658,5101900
659,12547102
660,6814356
661,8164951
662,14203344
663,6633290
664,7574062
665,6413318
666,7140249
667,8184816
668,10983813
669,8484463
670,6124685
671,6950287
672,5644832
673,7478513
674,9486632
675,9445219
676,5856875
677,6467990
678,15174517
679,7774420
680,11058285
681,13000788
682,8795629
683,7743732
684,9614545
685,8178927
686,10300645
687,18930863
688,6280789
689,4603190
690,7645782
691,6270469
692,7032515
693,5045675
694,6426646
695,12911151
696,9990905
697,7641384
698,8290940
699,17704542
700,11947314
701,8571381
702,11031979
703,5122444
704,8734024
705,9350292
706,4255790
707,8454756
708,6736150
709,7921299
710,6139192
711,9198279
712,4630049
713,7906092
714,9121046
715,4801043
716,6350844
717,12463252
718,4459644
719,8468382
720,11241684
721,6358894
722,13447021
723,9348193
724,10786218
725,6052042
726,11537556
727,11508390
728,4706821
729,9002664
730,9360700
731,14228395
732,6572084
733,6321885
734,6619792
735,18539556
736,10919382
737,6059226
738,7518460
739,5381934
740,5241884
741,8183447
742,6366104
743,10980105
744,5907865
745,10224971
746,7107731
747,6845910
748,10902419
749,7930432
750,7343303
751,13711467
752,7437776
753,4877270
754,9565451
755,12301953
756,10604517
757,6480505
758,10234396
759,14884813
760,10780555
761,8570799
762,13602208
763,11178348
764,7522179
765,9526443
766,10926146
767,11183611
768,4988048
769,10816748
770,8421834
771,13501683
772,9454651
773,13014232
774,14229284
775,10907768
776,17445582
777,8162508
778,5289115
779,8371101
780,14674188
781,9382087
782,9018120
783,10279996
784,19051717
785,16227476
786,8727232
787,10195392
788,17592523
789,13031597
790,8213825
791,8668365
792,10027308
793,9371062
794,17303944
795,8102407
796,5502444
797,6812079
798,4843276
799,7755537
800,7780807
801,14174787
802,4705017
803,6622218
804,6117895
805,7590178
806,8509649
807,11558071
808,7330452
809,7198459
810,10001802
811,9157267
812,7328761
813,9795446
814,7239658
815,8550201
816,7110843
817,12106653
818,6260225
819,10766363
820,13598275
821,8883478
822,13291856
823,19524696
824,7300687
825,8265657
826,9639165
827,7177204
828,13003606
829,5318554
830,16780707
831,6475892
832,7017518
833,6138354
834,6975130
835,8441208
836,7322007
837,5061633
838,8761881
839,5636667
840,7943336
841,9183175
842,7488612
843,8422849
844,15045495
845,15194065
846,7795699
847,9643039
848,5977670
849,6878562
850,7483905
851,7657942
852,6336305
853,6589981
854,7642138
855,6377187
856,5419574
857,16615284
858,12839594
859,15371323
860,16849534
861,13166383
862,5269154
863,16877363
864,10004833
865,8874381
866,9726122
867,7371218
868,8383897
869,17133454
870,13760743
871,12000857
872,9521239
873,10759396
874,9709559
875,5028230
876,3881800
877,15960017
878,4270729
879,9294745
880,4942311
881,4302516
882,14795523
883,6946114
884,7599232
885,5934172
886,10420050
887,6164762
888,8835301
889,5801373
890,14721447
891,7078900
892,9847946
893,9278090
894,10714170
895,6855723
896,12769348
897,7150062
898,6232111
899,8568039
900,17619923
901,7611908
902,7176509
903,11802437
904,5470987
905,12291811
906,9416627
907,12005698
908,4773485
909,6765875
910,7522733
911,5665157
912,5826296
913,6226249
914,8622504
915,17587563
916,7651119
917,9795161
918,8843435
919,4837163
920,8471809
921,9744607
922,7990587
923,6094534
924,10700652
925,6912414
926,5736324
927,6434895
928,8004625
929,8020741
930,9548193
931,5626796
932,13822982
933,10494695
934,7237928
935,9430504
936,10395864
937,10095701
938,18282346
939,5218535
940,8730024
941,6542862
942,5469961
943,14404878
944,8459911
945,8629939
946,9474045
947,15123188
948,10117726
949,8676951
950,7830852
951,16158775
952,13596512
953,12286806
954,7236968
955,9856171
956,10556077
957,9030606
958,9661206
959,11371624
960,6602643
961,8636126
962,8039511
963,8050325
964,7846961
965,8386023
966,7786896
967,11089096
968,9101021
969,6631724
970,6405333
971,9829417
972,6265383
973,6227856
974,8269649
975,15871040
976,8611964
977,19957992
978,6803563
979,9379753
980,8500286
981,9776808
982,5218897
983,8777703
984,5897842
985,8698125
986,16339768
987,5570324
988,13396474
989,10237960
990,7352057
991,11682897
992,10520407
993,9143623
994,13481314
995,4271012
996,7806102
997,12060050
998,12848240
999,10815956
1000,12417629
1001,9503767
1002,8399083
1003,4901628
1004,5297466
1005,7199358
1006,5525696
1007,4011282
1008,10574535
1009,7694811
1010,9117702
1011,10071180
1012,9150058
1013,5593654
1014,10687188
1015,13372551
1016,9888682
1017,6680018
1018,10963610
1019,7042870
1020,12159991
1021,13067627
1022,8916618
1023,9667239
1024,6458252
1025,13987721
1026,6377108
1027,7800176
1028,8080249
1029,11867202
1030,6479434
1031,5371997
1032,11234718
1033,5845458
1034,7868067
1035,11050472
1036,5107628
1037,7895801
1038,6791326
1039,5376517
1040,12135864
1041,10224087
1042,5140016
1043,7990640
1044,6513171
1045,7197575
1046,4798328
1047,13996899
1048,5282314
1049,13424636
1050,17355026
1051,3828818
1052,17530480
1053,6116543
1054,17029845
1055,10068999
1056,10300836
1057,7693790
1058,11643519
1059,5219479
1060,11516075
1061,7040624
1062,7709305
1063,7989396
1064,11634365
1065,9314035
1066,3687975
1067,11946789
1068,9195931
1069,11923010
1070,6933397
1071,6452824
1072,11661190
1073,4455950
1074,7874790
1075,17084451
1076,15416656
1077,7371327
1078,7857440
1079,5873023
1080,7862999
1081,16704979
1082,7990576
1083,8915682
1084,6042523
1085,6626838
1086,18160948
1087,10217887
1088,11910939
1089,6238563
1090,8545713
1091,8470197
1092,10537420
1093,6194120
1094,7728718
1095,7647615
1096,4616050
1097,8838004
1098,6953345
1099,6716132
1100,10364380
1101,14124033
1102,10017702
1103,6699540
1104,10574727
1105,14085480
1106,7404099
1107,8240709
1108,9112169
1109,9837580
1110,6522790
1111,5520727
1112,8154727
1113,8932711
1114,13915153
1115,12048697
1116,8860126
1117,5197797
1118,12065692
1119,8567837
1120,6950203
1121,7130591
1122,12458534
1123,4032281
1124,7465002
1125,10735247
1126,3978675
1127,7171175
1128,9485380
1129,4894425
1130,9036908
1131,5251802
1132,8055176
1133,14130399
1134,6957579
1135,9926891
1136,5758719
1137,7632529
1138,6777875
1139,11133988
1140,8593172
1141,13858390
1142,10620529
1143,5978427
1144,12409793
1145,6690835
1146,9671480
1147,12893166
1148,10158127
1149,11608066
1150,8637478
1151,7179748
1152,7938101
1153,8375605
1154,5515757
1155,12261146
1156,8001302
1157,7844305
1158,7280227
1159,5702339
1160,7907277
1161,5557824
1162,6274212
1163,10406532
1164,6478745
1165,7665936
1166,12203952
1167,16564150
1168,8624552
1169,9261430
1170,4794957
1171,9940801
1172,7452314
1173,9935403
1174,6294075
1175,8231028
1176,9134216
1177,5577075
1178,17355820
1179,8736312
1180,8210761
1181,21889039
1182,5660018
1183,7463225
1184,9600922
1185,8034837
1186,12182092
1187,11039453
1188,17162124
1189,8309737
1190,13968017
1191,5512388
1192,9090707
1193,9945286
1194,11006696
1195,8833542
1196,11190776
1197,5490651
1198,5842621
1199,9344357
1200,10658468
1201,7865047
1202,7116434
1203,10770318
1204,11560489
1205,8056013
1206,7583358
1207,7737839
1208,5073553
1209,10574604
1210,8624737
1211,10214121
1212,14297217
1213,7257820
1214,9731063
1215,8920294
1216,9923929
1217,7172253
1218,11598260
1219,8716893
1220,8762674
1221,9371869
1222,8556919
1223,6680341
1224,8087104
1225,9854695
1226,7620221
1227,6571710
1228,11962017
1229,7040455
1230,11491612
1231,13390085
1232,10289232
1233,7668244
1234,5001444
1235,3390446
1236,11981648
1237,8632975
1238,7040249
1239,8097595
1240,13166955
1241,13181380
1242,12028114
1243,7139095
1244,12623813
1245,7887274
1246,6351777
1247,5924346
1248,8503534
1249,13061754
1250,21695609
1251,8523625
1252,6795390
1253,11920852
1254,10299907
1255,5033833
1256,6494051
1257,10364222
1258,4881152
1259,9774253
1260,7581274
1261,8408988
1262,13793976
1263,21716732
1264,6133131
1265,8013628
1266,15350387
1267,6444028
1268,8167078
1269,8723741
1270,8846429
1271,14947304
1272,12937868
1273,5291293
1274,8497992
1275,8575309
1276,8835187
1277,6199580
1278,8720146
1279,9441565
1280,6978185
1281,9325990
1282,6622487
1283,6484606
1284,6880666
1285,9768451
1286,12984759
1287,12719175
1288,7870669
1289,12652006
1290,11970964
1291,12311504
1292,12900662
1293,11493166
1294,4379010
1295,12526734
1296,7533116
1297,9378655
1298,6701675
1299,8210598
1300,10851543
1301,13280072
1302,9806531
1303,14101477
1304,19063176
1305,4050227
1306,10826100
1307,7445052
1308,7727663
1309,10091330
1310,6553926
1311,6249819
1312,6939236
1313,7819973
1314,5607942
1315,11682257
1316,11733983
1317,5472005
1318,7373381
1319,9325711
1320,12976048
1321,10070175
1322,13219989
1323,13977352
1324,7310073
1325,11596739
1326,7876237
1327,5539061
1328,5151355
1329,8219487
1330,4137496
1331,5694017
1332,11350509
1333,6571721
1334,12632097
1335,12225538
1336,5747470
1337,7659381
1338,7513803
1339,13724182
1340,13762923
1341,5586242
1342,6208556
1343,9894275
1344,4097560
1345,8456464
1346,5331533
1347,8067735
1348,10636776
1349,6659065
1350,11299444
1351,4987959
1352,10262725
1353,8569163
1354,10655025
1355,11215881
1356,12891939
1357,9637400
1358,6625521
1359,8684925
1360,8373773
1361,14122913
1362,6152499
1363,18771355
1364,4707920
1365,7943846
1366,9379078
1367,9751429
1368,12407325
1369,12652802
1370,3832851
1371,6173919
1372,11557070
1373,9641292
1374,4694734
1375,5342985
1376,6484839
1377,7374342
1378,9123888
1379,12187243
1380,6511466
1381,7192294
1382,8172173
1383,7355818
1384,4527240
1385,5579051
1386,6963190
1387,7937457
1388,12939195
1389,8649272
1390,10933550
1391,6304890
1392,5296768
1393,10448148
1394,5806518
1395,16377575
1396,12532008
1397,8497779
1398,5709027
1399,7172694
1400,7066458
1401,10202696
1402,6903325
1403,9257681
1404,9764976
1405,6972779
1406,11645800
1407,4561693
1408,7635795
1409,10094453
1410,13306552
1411,8333816
1412,7644128
1413,12334326
1414,5575978
1415,14373659
1416,9129222
1417,8746797
1418,16807197
1419,7365203
1420,7867786
1421,12592638
1422,10450400
1423,7796538
1424,13769411
1425,7476397
1426,9703666
1427,7453773
1428,7555895
1429,6874337
1430,11692028
1431,11307186
1432,7286094
1433,9181848
1434,6560854
1435,10846533
1436,8499405
1437,11321641
1438,7528964
1439,15008234
1440,6069660
1441,11248335
1442,13999358
1443,3930358
1444,12794238
1445,12226867
1446,12891807
1447,16287947
1448,12115595
1449,7880701
1450,10466529
1451,14533993
1452,16774546
1453,5271363
1454,8443897
1455,7924096
1456,5889425
1457,7168849
1458,13525296
1459,9706841
1460,8398401
1461,9296208
1462,8276517
1463,6516909
1464,6307082
1465,12552510
1466,13836574
1467,15477676
1468,16721333
1469,11688429
1470,13205084
1471,7665465
1472,16144837
1473,3951605
1474,10372068
1475,13655497
1476,8570313
1477,7417201
1478,14125406
1479,7611100
1480,7601966
1481,8660589
1482,5525904
1483,10345200
1484,4496828
1485,14935470
1486,6105524
1487,7663259
1488,9926187
1489,5709251
1490,6184100
1491,5737312
1492,10233017
1493,8023728
1494,5745120
1495,10105031
1496,16466522
1497,7853924
1498,11259930
1499,21751376
1500,7783762
1501,5902392
1502,11779659
1503,9844733
1504,4436080
1505,5867157
1506,9715955
1507,13118191
1508,6615299
1509,9369190
1510,6336039
1511,6405880
1512,9723817
1513,6125564
1514,7854839
1515,8668137
1516,13097156
1517,6028849
1518,6678234
1519,8674495
1520,12128277
1521,12728528
1522,4812856
1523,6986378
1524,4242718
1525,8634034
1526,7330062
1527,6594871
1528,6502251
1529,5729459
1530,5874166
1531,7430183
1532,6769411
1533,6394629
1534,9496077
1535,12046354
1536,11651802
1537,6039983
1538,7586795
1539,12897899
1540,10345471
1541,5515499
1542,6295907
1543,5494467
1544,6703738
1545,6165035
1546,7511195
1547,7601326
1548,7004891
1549,6608225
1550,6946546
1551,6016730
1552,8106373
1553,10576637
1554,4935586
1555,10981313
1556,8494187
1557,8799499
1558,12241475
1559,10488504
1560,11805263
1561,9447563
1562,9212599
1563,6356726
1564,6766018
1565,10656005
1566,9887857
1567,9973636
1568,10922726
1569,7393518
1570,10776555
1571,13713952
1572,5273964
1573,5006118
1574,8556781
1575,11430338
1576,7629998
1577,13339394
1578,8749485
1579,18877493
1580,10032675
1581,9783842
1582,12419052
1583,7341752
1584,8285516
1585,12186671
1586,11991772
1587,9654731
1588,9208403
1589,11694100
1590,8430835
1591,5610682
1592,6067401
1593,6028338
1594,10038882
1595,6066017
1596,8309806
1597,13056127
1598,5793534
1599,13562189
1600,9297641
1601,13191287
1602,17535947
1603,6549529
1604,5586984
1605,12260755
1606,8239825
1607,13740078
1608,17360946
1609,4617282
1610,14548029
1611,7710609
1612,6639468
1613,4606547
1614,16420330
1615,9119504
1616,7836018
1617,18308305
1618,7108284
1619,11065996
1620,22084618
1621,12105792
1622,6289912
1623,9587641
1624,7154955
1625,9585581
1626,5811420
1627,7818561
1628,5203102
1629,7564203
1630,8485653
1631,7066035
1632,19225850
1633,7459262
1634,19393192
1635,11967411
1636,15076801
1637,13155105
1638,9075043
1639,6581467
1640,9254442
1641,12436343
1642,4995741
1643,10083275
1644,13059689
1645,10558505
1646,7963173
1647,6260650
1648,8785305
1649,5640549
1650,13270959
1651,10129138
1652,12640727
1653,8293586
1654,5498547
1655,11503722
1656,6810865
1657,9290032
1658,12616384
1659,6448757
1660,7409409
1661,12856146
1662,7436507
1663,15014897
1664,9718424
1665,11909571
1666,11781666
1667,14919689
1668,11537340
1669,8400534
1670,15927588
1671,6947483
1672,13112897
1673,7060267
1674,3296565
1675,16804274
1676,7281615
1677,8484682
1678,8343098
1679,6456170
1680,6650156
1681,8230978
1682,7786829
1683,13530537
1684,12354715
1685,7541549
1686,10417069
1687,7868130
1688,10998008
1689,8231320
1690,5445116
1691,11745659
1692,7482055
1693,4320103
1694,6899721
1695,10114559
1696,5868864
1697,5072580
1698,8104593
1699,7169177
1700,12486159
1701,8726282
1702,5740107
1703,10367450
1704,10415993
1705,6646683
1706,11398047
1707,13217343
1708,10720853
1709,14069430
1710,9067911
1711,8429534
1712,6550296
1713,7980850
1714,6971687
1715,9259657
1716,14748748
1717,8381488
1718,10510072
1719,7646295
1720,10612575
1721,5784323
1722,9367995
1723,8055388
1724,5752492
1725,10560013
1726,9475761
1727,13627551
1728,5565828
1729,6736694
1730,13040051
1731,7054399
1732,15009080
1733,6869278
1734,8617831
1735,8312921
1736,6523946
1737,7963948
1738,13749043
1739,8393825
1740,5883016
1741,8554170
1742,9513939
1743,7058308
1744,7493428
1745,15050418
1746,9144102
1747,9241494
1748,8600648
1749,9259021
1750,9521967
1751,14226385
1752,9061249
1753,12886034
1754,5676217
1755,15406033
1756,6911417
1757,4623744
1758,6739552
1759,7643442
1760,6530672
1761,5445125
1762,14627763
1763,4377163
1764,4905218
1765,10604396
1766,6338921
1767,11876045
1768,5724083
1769,7381472
1770,8199781
1771,10391619
1772,21831371
1773,8884649
1774,9155228
1775,10483826
1776,10853874
1777,6405136
1778,8205098
1779,4835779
1780,6475399
1781,18027563
1782,8382085
1783,18128406
1784,4330785
1785,9309566
1786,7897680
1787,5497678
1788,7070798
1789,13879793
1790,10160245
1791,13770364
1792,5891982
1793,10735267
1794,10485090
1795,12143008
1796,7696340
1797,12833807
1798,14313566
1799,6358567
1800,14942141
1801,9614554
1802,5833595
1803,12545809
1804,10135542
1805,9003590
1806,4646954
1807,6675772
1808,6749131
1809,8744164
1810,8689660
1811,10029026
1812,12467925
1813,17118057
1814,9718899
1815,11988873
1816,8112027
1817,5613546
1818,10905743
1819,17668390
1820,3714326
1821,9943007
1822,11491903
1823,6664047
1824,9093719
1825,19792996
1826,6564399
1827,9142453
1828,10609675
1829,7532930
1830,6974546
1831,17894216
1832,7362784
1833,4866764
1834,11114116
1835,10456528
1836,7376678
1837,6771138
1838,10670520
1839,4343512
1840,7253950
1841,8539932
1842,7132112
1843,7121903
1844,7542844
1845,8991675
1846,9964014
1847,12845030
1848,4289706
1849,6776980
1850,5015404
1851,7196136
1852,5060360
1853,5115548
1854,16354659
1855,13892147
1856,7101789
1857,16660495
1858,9334876
1859,4592406
1860,12644976
1861,7735792
1862,8518941
1863,7631017
1864,9081453
1865,8940355
1866,6237249
1867,10086292
1868,12145480
1869,12969176
1870,5241554
1871,9969120
1872,8855664
1873,9140169
1874,7205078
1875,7053167
1876,7504958
1877,16761266
1878,8684669
1879,8854086
1880,7539656
1881,5987213
1882,11572807
1883,13658922
1884,11415965
1885,9325795
1886,7336779
1887,9863664
1888,9934171
1889,9955594
1890,10081515
1891,6076851
1892,7492740
1893,19299483
1894,8550604
1895,12088098
1896,9232233
1897,12291850
1898,13710539
1899,6380019
1900,12301944
1901,9411282
1902,16930438
1903,10371634
1904,12443842
1905,9949108
1906,13930568
1907,9010501
1908,6918699
1909,12516913
1910,6836344
1911,6127120
1912,6605164
1913,6642708
1914,14243923
1915,10886115
1916,8594479
1917,4604284
1918,7959663
1919,8709423
1920,14048791
1921,18571121
1922,6027819
1923,8352437
1924,8645946
1925,7161858
1926,7911027
1927,8803109
1928,8766938
1929,6214689
1930,6992307
1931,6064734
1932,12787338
1933,9206786
1934,10347919
1935,13313821
1936,11504947
1937,16457613
1938,7639189
1939,9635145
1940,12770209
1941,10806811
1942,5821532
1943,12682854
1944,6919867
1945,11235850
1946,18414618
1947,9850822
1948,13587936
1949,15046684
1950,14274099
1951,7153896
1952,9313862
1953,11000172
1954,11999431
1955,5806811
1956,8655515
1957,12655722
1958,7176352
1959,8563476
1960,16646556
1961,5329270
1962,10186201
1963,9208784
1964,9737252
1965,10551002
1966,5775489
1967,6699777
1968,4997942
1969,6040297
1970,8452244
1971,8257173
1972,7561702
1973,9581184
1974,7995984
1975,6890652
1976,10565326
1977,10646034
1978,9662095
1979,8587363
1980,6390147
1981,17606511
1982,6879954
1983,12693365
1984,7485520
1985,6793861
1986,7992993
1987,20646984
1988,7363416
1989,5372215
1990,10753273
1991,7157426
1992,7360886
1993,4217823
1994,10669073
1995,5692656
1996,8931622
1997,4680083
1998,14482278
1999,13564276
2000,5492357
2001,14457611
2002,11779172
2003,8289872
2004,7740727
2005,4549290
2006,13241919
2007,10084470
2008,6950818
2009,7581194
2010,9719658
2011,16508241
2012,7442537
2013,5026793
2014,7609144
2015,10192270
2016,11636174
2017,10623188
2018,6341187
2019,5756000
2020,7750336
2021,14135374
2022,6262320
2023,12301146
2024,3683949
2025,6116811
2026,8361499
2027,3772345
2028,5973676
2029,11358008
2030,10600506
2031,7911603
2032,6158607
2033,11952307
2034,9747936
2035,15593785
2036,9296387
2037,16024085
2038,7512108
2039,9922960
2040,6664020
2041,10344242
2042,5760861
2043,6368462
2044,8291512
2045,7492723
2046,5860408
2047,9446702
2048,6944629
2049,5714432
2050,13785763
2051,6745529
2052,10792879
2053,6395558
2054,8974265
2055,15358165
2056,6807666
2057,5686210
2058,20168588
2059,13674027
2060,6390146
2061,8801233
2062,10170422
2063,11536849
2064,11187803
2065,12139024
2066,11841655
2067,8170240
2068,8937967
2069,12487782
2070,7490159
2071,13948259
2072,10691868
2073,4386815
2074,3824121
2075,8719265
2076,7681078
2077,5428586
2078,16929860
2079,8669260
2080,6175643
2081,7004125
2082,10234217
2083,12154548
2084,8963870
2085,7087679
2086,4976183
2087,11178456
2088,10053445
2089,12846750
2090,9640969
2091,6727175
2092,8565142
2093,11862418
2094,5539382
2095,6797260
2096,5375546
2097,7716688
2098,9838697
2099,5961934
2100,13804046
2101,4923457
2102,4227188
2103,8445649
2104,6675752
2105,6219920
2106,12612822
2107,6200019
2108,5349385
2109,9416982
2110,10563494
2111,5488213
2112,8252828
2113,5742307
2114,9705638
2115,6876272
2116,13332133
2117,9342687
2118,11469766
2119,5398682
2120,5343040
2121,10926236
2122,15600022
2123,9589695
2124,8850556
2125,8011121
2126,10400838
2127,12518628
2128,7626063
2129,15726591
2130,9893204
2131,10585638
2132,8140149
2133,10936526
2134,7457417
2135,5880016
2136,5308431
2137,13434675
2138,6065558
2139,14420657
2140,7870667
